Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes
1,1,The Wellings and the Very Busy Day,"Full-page illustration: The Welling family together outdoors, gentle morning mood. Arthur holding Oliver, Eleanor with a warm drink, Miso nearby.","Arthur, Eleanor, Oliver, Miso","Outside the house, morning",Title page
1,2,(Copyright page),No illustration. White space only.,—,—,Text-only
1,3,The Wellings by Finn Westbo | The Days We Come Home | The Wellings and the Very Busy Day,Miso chasing a butterfly somewhere random on the page,—,Abstract / neutral,Series page
1,4,The Wellings woke up early,"Morning light entering a bedroom; Arthur and Eleanor awake, Oliver half-awake in bed.","Arthur, Eleanor, Oliver",Bedroom, 
1,5,It was going to be a very busy day,Arthur glancing at a clock or list; Eleanor already dressed; Oliver watching.,"Arthur, Eleanor, Oliver",Hallway or kitchen,No stress
1,6,Arthur had places to go,Arthur putting on his coat or scarf near the door.,Arthur,Entryway,Motion starting
1,7,Eleanor had things to do,"Eleanor holding a mug or notebook, standing calmly.",Eleanor,Kitchen,Grounded posture
1,8,Oliver had questions,"Oliver looking up thoughtfully, mouth slightly open.",Oliver,Kitchen or hallway,Curiosity
1,9,Miso watched everyone,"Miso sitting still, observing the family.",Miso,Floor level view,Stillness
1,10,The house felt full,All family members visible in one busy-but-calm interior scene.,"Arthur, Eleanor, Oliver, Miso",Living room,Visual fullness
1,11,The day began,Front door opening; light spilling out.,"Arthur, Eleanor, Oliver",Entryway,Transition
1,12,Everyone went their way,Arthur leaving; Eleanor inside; Oliver lingering near the door.,"Arthur, Eleanor, Oliver",Doorway,Separation
1,13,The hours passed,Sun moving across the sky; house exterior.,—,Outside house,Time passing
1,14,Oliver wondered when the day would slow down,"Oliver sitting quietly, looking out a window.",Oliver,Window / indoors,Reflective
1,15,Eleanor said it would,"Eleanor kneeling or leaning close to Oliver, reassuring smile.","Eleanor, Oliver",Indoors,Gentle reassurance
1,16,Arthur kept busy,Arthur walking through town or working quietly.,Arthur,Town street,No urgency
1,17,Miso stayed close,"Miso near Eleanor or Oliver, calm and watchful.",Miso,Indoors,Companion presence
1,18,"At last, the day began to quiet","Afternoon light; fewer objects, calmer space.",—,House interior,Slowing
1,19,Arthur came home,"Arthur opening the door, returning.",Arthur,Entryway,Return
1,20,Everyone was together again,Family gathered in one space.,"Arthur, Eleanor, Oliver, Miso",Living room,Reunion
1,21,The house felt warm,Evening scene with soft lighting.,"Arthur, Eleanor, Oliver, Miso",Living room,Warmth
1,22,The busy day was done,"Family settled, sitting or resting.","Arthur, Eleanor, Oliver",Living room,Closure
1,23,Some days are like this,"Quiet, minimal scene — maybe a chair, window, light.",—,Interior,Stillness
1,24,Busy days,"Visual echo of earlier busyness, simplified.",—,Abstract or interior,Callback
1,25,And coming home,"The house at night, lights on inside.",—,"Exterior, night",Emotional close
1,26,(No text),The Welling house at night. Small Rogaland House mark at bottom.,—,"Exterior, night",End page
