Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
2,1,The Wellings and the Papers That Wouldn’t Stay Put,—,—,—,Cover,
2,2,—,—,—,—,Inside Cover,
2,3,The Wellings had papers.,—,—,—,—,
2,4,Important papers.,—,—,—,—,
2,5,They were meant to stay in one place.,—,—,—,—,
2,6,But papers do not always listen.,—,—,—,—,
2,7,One morning,the papers moved.,—,—,—,—
2,8,Just a little.,—,—,—,—,
2,9,Then a little more.,—,—,—,—,
2,10,Soon,they were everywhere.,—,—,—,—
2,11,Mr. Welling tried to catch them.,—,—,—,—,
2,12,Mrs. Welling watched.,—,—,—,—,
2,13,The child followed the papers.,—,—,—,—,
2,14,Each paper led somewhere new.,—,—,—,—,
2,15,Some went to neighbors.,—,—,—,—,
2,16,Some went to places they had never been.,—,—,—,—,
2,17,The pet did not chase any.,—,—,—,—,
2,18,“Should we stop them?” asked Mr. Welling.,—,—,—,—,
2,19,“We can try,” said Mrs. Welling.,—,—,—,—
2,20,But the papers had already gone.,—,—,—,—,
2,21,The Wellings sat down.,—,—,—,—,
2,22,Nothing felt broken.,—,—,—,—,
2,23,Some things are meant to move.,—,—,—,—,
2,24,Even important things.,—,—,—,—,
2,25,Later,the papers came back.,—,—,—,—
2,26,Not quite the same.,—,—,—,—,
2,27,But still enough.,—,—,—,—,
2,28,Not everything stays where we put it. That doesn’t mean it’s gone.,—,—,—,Back Cover,
