Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
3,1,The Wellings and the Long Walk Home,—,—,—,Cover,
3,2,—,—,—,—,Inside Cover,
3,3,Mr. Welling left later than usual.,—,—,—,—,
3,4,It had been a long day.,—,—,—,—,
3,5,He could take the short way home.,—,—,—,—,
3,6,Or the long way.,—,—,—,—,
3,7,Mr. Welling stopped.,—,—,—,—,
3,8,He thought for a moment.,—,—,—,—,
3,9,Then he turned.,—,—,—,—,
3,10,The long way was quieter.,—,—,—,—,
3,11,He passed places he had forgotten.,—,—,—,—,
3,12,He waved to someone he knew.,—,—,—,—,
3,13,He helped someone who needed it.,—,—,—,—,
3,14,No one hurried him.,—,—,—,—,
3,15,At home,Mrs. Welling waited.,—,—,—,—
3,16,The child waited too.,—,—,—,—,
3,17,The pet listened.,—,—,—,—,
3,18,The sky changed colors.,—,—,—,—,
3,19,The lights came on.,—,—,—,—,
3,20,When Mr. Welling arrived,it was dark.,—,—,—,—
3,21,“I took the long way,” he said.,—,—,—,—
3,22,Mrs. Welling nodded.,—,—,—,—,
3,23,The child understood.,—,—,—,—,
3,24,The pet already knew.,—,—,—,—,
3,25,They sat together.,—,—,—,—,
3,26,The day felt complete.,—,—,—,—,
3,27,Some paths take longer.,—,—,—,—,
3,28,Sometimes the long way home is the best way there.,—,—,—,Back Cover,
