Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
5,1,The Wellings and the Question No One Asked,—,—,—,Cover,
5,2,—,—,—,—,Inside Cover,
5,3,The adults were talking.,—,—,—,—,
5,4,They talked about many things.,—,—,—,—,
5,5,Important things.,—,—,—,—,
5,6,Busy things.,—,—,—,—,
5,7,The child listened.,—,—,—,—,
5,8,The child waited.,—,—,—,—,
5,9,The pet listened too.,—,—,—,—,
5,10,A question formed.,—,—,—,—,
5,11,It was a small question.,—,—,—,—,
5,12,The child waited for the right moment.,—,—,—,—,
5,13,The moment did not come.,—,—,—,—,
5,14,The question stayed.,—,—,—,—,
5,15,Finally,the child asked.,—,—,—,—
5,16,“Why do we hurry?”,—,—,—,—,
5,17,No one answered right away.,—,—,—,—,
5,18,The house grew quiet.,—,—,—,—,
5,19,Mr. Welling thought.,—,—,—,—,
5,20,Mrs. Welling thought too.,—,—,—,—,
5,21,The pet waited.,—,—,—,—,
5,22,“I’m not sure,” said Mr. Welling.,—,—,—,—
5,23,“That’s a good question,” said Mrs. Welling.,—,—,—,—
5,24,The child nodded.,—,—,—,—,
5,25,They sat together.,—,—,—,—,
5,26,No one hurried.,—,—,—,—,
5,27,The question stayed with them.,—,—,—,—,
5,28,Some questions don’t need answers to be important.,—,—,—,Back Cover,
