Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
6,1,The Wellings and the Warm Light in the Window,—,—,—,Cover,
6,2,—,—,—,—,Inside Cover,
6,3,Evening came slowly.,—,—,—,—,
6,4,The day was nearly done.,—,—,—,—,
6,5,Mr. Welling was still out.,—,—,—,—,
6,6,He walked past many houses.,—,—,—,—,
6,7,Some windows were bright.,—,—,—,—,
6,8,Some were dark.,—,—,—,—,
6,9,One window stayed warm.,—,—,—,—,
6,10,Inside,Mrs. Welling waited.,—,—,—,—
6,11,The child waited too.,—,—,—,—,
6,12,The pet watched the door.,—,—,—,—,
6,13,The light did not hurry.,—,—,—,—,
6,14,It stayed.,—,—,—,—,
6,15,Outside,the town settled.,—,—,—,—
6,16,Mr. Welling saw the light.,—,—,—,—,
6,17,He smiled.,—,—,—,—,
6,18,He walked a little faster.,—,—,—,—,
6,19,The door opened.,—,—,—,—,
6,20,“Welcome home,” she said.,—,—,—,—
6,21,The child looked up.,—,—,—,—,
6,22,The pet wagged or purred.,—,—,—,—,
6,23,They went inside together.,—,—,—,—,
6,24,The light stayed on.,—,—,—,—,
6,25,The house felt full.,—,—,—,—,
6,26,The day was done.,—,—,—,—,
6,27,Home waited.,—,—,—,—,
6,28,No matter how far the day goes,home is where the light stays on.,—,—,—,Back Cover
