Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
10,1,The Wellings and the Gentle Yes,—,—,—,Cover,
10,2,—,—,—,—,Inside Cover,
10,3,One day,someone asked the Wellings something.,—,—,—,—
10,4,It was not a big question.,—,—,—,—,
10,5,No one needed to decide right away.,—,—,—,—,
10,6,Arthur thought about it.,—,—,—,—,
10,7,Eleanor did too.,—,—,—,—,
10,8,Oliver waited.,—,—,—,—,
10,9,Miso sat very still.,—,—,—,—,
10,10,The question stayed in the air.,—,—,—,—,
10,11,It did not push.,—,—,—,—,
10,12,It did not rush.,—,—,—,—,
10,13,Arthur spoke first.,—,—,—,—,
10,14,He said yes.,—,—,—,—,
10,15,It was not a loud yes.,—,—,—,—,
10,16,It was not a big yes.,—,—,—,—,
10,17,But it was enough.,—,—,—,—,
10,18,Eleanor smiled too.,—,—,—,—,
10,19,Oliver nodded.,—,—,—,—,
10,20,Miso stood up.,—,—,—,—,
10,21,The day changed a little.,—,—,—,—,
10,22,But it stayed calm.,—,—,—,—,
10,23,They helped.,—,—,—,—,
10,24,Then they went home.,—,—,—,—,
10,25,Nothing felt heavy.,—,—,—,—,
10,26,Some yeses feel like this.,—,—,—,—,
10,27,You don’t have to shout to agree. Some yeses are gentle.,—,—,—,Back Cover,
