Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
11,1,The Wellings and the Morning After,—,—,—,Cover,
11,2,—,—,—,—,Inside Cover,
11,3,The morning came quietly.,—,—,—,—,
11,4,Nothing felt rushed.,—,—,—,—,
11,5,Yesterday was over.,—,—,—,—,
11,6,Today was here.,—,—,—,—,
11,7,Arthur stretched.,—,—,—,—,
11,8,Eleanor smiled.,—,—,—,—,
11,9,Oliver woke slowly.,—,—,—,—,
11,10,Miso had already been awake.,—,—,—,—,
11,11,The house remembered yesterday.,—,—,—,—,
11,12,But it did not hold onto it.,—,—,—,—,
11,13,Breakfast was simple.,—,—,—,—,
11,14,No one talked much.,—,—,—,—,
11,15,No one needed to.,—,—,—,—,
11,16,The day waited.,—,—,—,—,
11,17,Oliver thought about yesterday.,—,—,—,—,
11,18,Arthur did too.,—,—,—,—,
11,19,Eleanor noticed.,—,—,—,—,
11,20,Miso stretched.,—,—,—,—,
11,21,Then the day began.,—,—,—,—,
11,22,Not loudly.,—,—,—,—,
11,23,Not quickly.,—,—,—,—,
11,24,But ready.,—,—,—,—,
11,25,Some days start like this.,—,—,—,—,
11,26,After yesterday ends,today begins gently.,—,—,—,Back Cover
