Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
12,1,The Wellings and the Way Things Settle,—,—,—,Cover,
12,2,—,—,—,—,Inside Cover,
12,3,After many days,things were quieter.,—,—,—,—
12,4,Not empty.,—,—,—,—,
12,5,Just settled.,—,—,—,—,
12,6,Arthur noticed first.,—,—,—,—,
12,7,He didn’t say anything.,—,—,—,—,
12,8,Eleanor noticed too.,—,—,—,—,
12,9,She smiled.,—,—,—,—,
12,10,Oliver felt it.,—,—,—,—,
12,11,Even Miso paused.,—,—,—,—,
12,12,Nothing had changed all at once.,—,—,—,—,
12,13,But everything had found its place.,—,—,—,—,
12,14,The house breathed.,—,—,—,—,
12,15,The town breathed too.,—,—,—,—,
12,16,Arthur sat.,—,—,—,—,
12,17,Eleanor joined him.,—,—,—,—,
12,18,Oliver leaned close.,—,—,—,—,
12,19,Miso curled up.,—,—,—,—,
12,20,No one needed to speak.,—,—,—,—,
12,21,The moment stayed.,—,—,—,—,
12,22,Then it passed.,—,—,—,—,
12,23,As moments do.,—,—,—,—,
12,24,The Wellings moved on.,—,—,—,—,
12,25,Not away.,—,—,—,—,
12,26,Just forward.,—,—,—,—,
12,27,Some things settle like this.,—,—,—,—,
12,28,Without noise.,—,—,—,—,
12,29,Without hurry.,—,—,—,—,
12,30,Not everything ends. Some things settle,and stay.,—,—,—,Back Cover
