Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
7,1,The Wellings and the Thing That Took Its Time,—,—,—,Cover,
7,2,—,—,—,—,Inside Cover,
7,3,The Wellings were waiting for something.,—,—,—,—,
7,4,They were not sure what it would be.,—,—,—,—,
7,5,Arthur checked on it every day.,—,—,—,—,
7,6,Eleanor said it would be ready when it was ready.,—,—,—,—,
7,7,Oliver asked how long that would take.,—,—,—,—,
7,8,No one knew.,—,—,—,—,
7,9,Miso did not worry.,—,—,—,—,
7,10,Days passed.,—,—,—,—,
7,11,The thing stayed the same.,—,—,—,—,
7,12,Oliver thought it might never change.,—,—,—,—,
7,13,Arthur wondered if something was wrong.,—,—,—,—,
7,14,Eleanor waited.,—,—,—,—,
7,15,One morning,it was different.,—,—,—,—
7,16,Just a little.,—,—,—,—,
7,17,No one had seen it happen.,—,—,—,—,
7,18,It had taken its time.,—,—,—,—,
7,19,Oliver smiled.,—,—,—,—,
7,20,Arthur felt relieved.,—,—,—,—,
7,21,Eleanor said nothing.,—,—,—,—,
7,22,Miso already knew.,—,—,—,—,
7,23,Some things take the time they need.,—,—,—,—,
7,24,Not everything arrives quickly. Some things arrive right.,—,—,—,Back Cover,
