Book,Page,Text (FINAL),Illustration Description,Characters Present,Environment / Setting,Notes,
9,1,The Wellings and the Chair That Waited,—,—,—,Cover,
9,2,—,—,—,—,Inside Cover,
9,3,The chair had always been there.,—,—,—,—,
9,4,No one remembered when it arrived.,—,—,—,—,
9,5,It was not a special chair.,—,—,—,—,
9,6,It did not move.,—,—,—,—,
9,7,Most days,no one sat in it.,—,—,—,—
9,8,Still,it stayed.,—,—,—,—
9,9,Oliver noticed.,—,—,—,—,
9,10,He wondered who it was for.,—,—,—,—,
9,11,Arthur thought it might be useful someday.,—,—,—,—,
9,12,Eleanor liked that it waited.,—,—,—,—,
9,13,Miso claimed it.,—,—,—,—,
9,14,The chair waited anyway.,—,—,—,—,
9,15,One afternoon,someone needed to sit.,—,—,—,—
9,16,The chair was ready.,—,—,—,—,
9,17,It did not mind the waiting.,—,—,—,—,
9,18,The house felt steady.,—,—,—,—,
9,19,Oliver understood.,—,—,—,—,
9,20,Some things are made for later.,—,—,—,—,
9,21,And later always comes.,—,—,—,—,
9,22,Miso moved.,—,—,—,—,
9,23,The chair waited again.,—,—,—,—,
9,24,That was enough.,—,—,—,—,
9,25,Some things don’t rush. They’re ready when needed.,—,—,—,Back Cover,
